[25/04/2021 8:25:38 p. m.]  :  Standby! waiting user to click button [b_downloading = false] 
[25/04/2021 8:25:42 p. m.]  :  Start to download, unlock the process !
[25/04/2021 8:25:42 p. m.]  :  *********************************Start Time : 20:25:42    **************************
[25/04/2021 8:25:42 p. m.]  :  New action to upload target binary.
[25/04/2021 8:25:42 p. m.]  :  User clicked the button to start download. [b_downloading = true] 
[25/04/2021 8:25:42 p. m.]  :  Now , tool will in the downloading status.[b_downloading = true] 
[25/04/2021 8:25:42 p. m.]  :  Read current comport list : Start
[25/04/2021 8:25:51 p. m.]  :  USB Plug-out25/04/2021 8:25:51 p. m.
[25/04/2021 8:25:51 p. m.]  :  USB Plug-out25/04/2021 8:25:51 p. m.
[25/04/2021 8:25:51 p. m.]  :  USB Insert25/04/2021 8:25:51 p. m.
[25/04/2021 8:25:51 p. m.]  :  ++++++++++++Create the process to download the binary...........
[25/04/2021 8:25:51 p. m.]  :  Now, it is in a new process to download. and the b_downloading is: True 
[25/04/2021 8:25:51 p. m.]  :  step one , get the usb list.
[25/04/2021 8:25:51 p. m.]  :  USB Insert25/04/2021 8:25:51 p. m.
[25/04/2021 8:25:51 p. m.]  :  ++++++++++++Create the process to download the binary...........
[25/04/2021 8:25:52 p. m.]  :  Now, it is in a new process to download. and the b_downloading is: True 
[25/04/2021 8:25:52 p. m.]  :  step one , get the usb list.
[25/04/2021 8:25:52 p. m.]  :  step one , get the comport name.
[25/04/2021 8:25:52 p. m.]  :  Get the comport : MediaTek USB Port (COM4) 
[25/04/2021 8:25:52 p. m.]  :  Get the comport : MediaTek USB Port (COM4) 
[25/04/2021 8:25:52 p. m.]  :  --------- Start to download binary ---------------
[25/04/2021 8:25:52 p. m.]  :  ............................................ Process AllSystem.Diagnostics.Process 
[25/04/2021 8:25:52 p. m.]  :  --------- Start to download binary ---------------
[25/04/2021 8:25:52 p. m.]  :  ............................................Now start to run the process 
[25/04/2021 8:25:52 p. m.]  :  ............................................ Process AllSystem.Diagnostics.Process 
[25/04/2021 8:25:52 p. m.]  :  ............................................Now start to run the process 
[25/04/2021 8:25:52 p. m.]  :  ............................................ Process starttime25/04/2021 8:25:52 p. m. 
[25/04/2021 8:25:52 p. m.]  :  ............................................ Process id2028 
[25/04/2021 8:25:52 p. m.]  :  ............................................ Process starttime25/04/2021 8:25:52 p. m. 
[25/04/2021 8:25:52 p. m.]  :  ............................................ Process id3640 
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:ParseArguments() : CFG path   = [C:\Users\juans\AppData\Local\Arduino15\packages\LinkIt\tools\linkit_tools\1.1.23\firmware\LinkIt_ONE\1.1.23\SEEED02A_DEMO_BB.cfg]
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:ParseArguments() : DA  path   = [C:\Users\juans\AppData\Local\Arduino15\packages\LinkIt\tools\linkit_tools\1.1.23\firmware\Download_Agent\6261]
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:ParseArguments() : COM number = 4
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:ParseArguments() : Property name = [(null)]
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:[**Process**] _001_00000
[25/04/2021 8:25:54 p. m.]  :  001
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:GetBBInfoFromCFG() Platform = 0x2502
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:GetBootRegionImagesNameFromCFG() Get rom name : [SEEED02A_DEMO_BOOTLOADER_V005_MT2502_MAUI_11CW1418SP4_W15_15.bin] (len = 64)
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:GetBootRegionImagesNameFromCFG() Get rom name : [EXT_BOOTLOADER] (len = 14)
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:GetBootRegionImagesNameFromCFG() Get rom name : [ROM] (len = 3)
